  0.00 -2.873719e+05 0.000000e+00 4.547110e+00 1.331902e+01 1.226028e+01 3.367801e+04 -2.873418e+05 -2.536638e+05
  0.20 -2.893841e+05 0.000000e+00 1.084504e+03 8.341150e+01 2.035950e+01 3.412599e+04 -2.881958e+05 -2.540698e+05
  0.40 -2.896383e+05 0.000000e+00 4.081549e+02 9.223921e+01 1.367004e+01 3.464682e+04 -2.891242e+05 -2.544774e+05
  0.60 -2.894875e+05 0.000000e+00 6.406091e+02 9.021583e+01 1.726265e+01 3.401376e+04 -2.887394e+05 -2.547256e+05
  0.80 -2.895476e+05 0.000000e+00 5.376472e+02 6.267862e+01 1.771746e+01 3.404594e+04 -2.889296e+05 -2.548837e+05
  1.00 -2.894728e+05 0.000000e+00 2.640964e+02 3.148847e+01 1.743741e+01 3.410082e+04 -2.891598e+05 -2.550589e+05
  1.20 -2.899274e+05 0.000000e+00 5.728426e+02 5.046740e+01 1.165618e+01 3.407928e+04 -2.892924e+05 -2.552131e+05
  1.40 -2.898142e+05 0.000000e+00 4.905528e+02 4.512173e+01 1.412226e+01 3.389598e+04 -2.892644e+05 -2.553684e+05
  1.60 -2.897690e+05 0.000000e+00 4.251937e+02 1.626811e+01 6.937490e+00 3.388255e+04 -2.893206e+05 -2.554381e+05
  1.80 -2.898175e+05 0.000000e+00 5.004946e+02 2.043133e+01 7.426766e+00 3.379381e+04 -2.892891e+05 -2.554953e+05
  2.00 -2.897125e+05 0.000000e+00 5.453117e+02 3.760740e+01 1.218159e+01 3.362612e+04 -2.891174e+05 -2.554913e+05
  2.20 -2.896483e+05 0.000000e+00 3.362911e+02 3.053807e+01 1.433587e+01 3.375843e+04 -2.892671e+05 -2.555087e+05
  2.40 -2.895287e+05 0.000000e+00 2.243253e+02 3.808131e+01 1.373321e+01 3.370975e+04 -2.892526e+05 -2.555428e+05
  2.60 -2.897819e+05 0.000000e+00 3.154446e+02 1.896177e+01 1.277626e+01 3.375170e+04 -2.894348e+05 -2.556831e+05
